square_feet,bedrooms,bathrooms,age,location_score,garage,pool,school_rating,crime_rate,distance_to_city,lot_size,year_built,energy_efficiency,neighborhood,price
2248,3,1.5,2,3.311561762085759,1,0,4,13.453994290217864,21.51939761153153,9082,2013,B,Downtown,388424.9643824391
1930,2,2.0,10,7.652019310038997,1,1,5,4.33135428200393,29.598099393039202,10364,1989,D,Rural,387033.0606463651
2323,1,4.0,1,4.753532562142542,0,0,4,11.994785264762708,21.450682807989665,11065,1994,C,Downtown,397633.90329155297
2761,1,3.0,7,2.226200968400721,1,1,2,81.6950656157168,11.838845312864121,11259,1950,C,Urban,369718.01953687274
1882,3,2.0,8,3.2963915199592346,2,0,4,89.64574246681602,31.91609220985075,6134,2007,D,Suburbs,337816.75478607585
1882,1,2.5,2,7.076062680593063,1,0,5,33.59837764466154,20.04110003123905,9506,1993,B,Urban,379295.489273322
2789,3,2.0,4,4.03350761832805,1,0,5,95.71842053253499,13.217170988551219,5233,1984,C,Downtown,417005.6330852839
2383,4,2.0,17,6.437153985404305,1,0,1,41.8441293413645,46.98509730977142,7073,2013,C,Downtown,369118.4929530898
1765,2,2.0,1,2.8497793849206365,1,0,4,17.197975384860364,6.282874570791295,5651,2002,B,Urban,278196.0296224964
2271,4,2.0,5,5.037228749645207,2,1,4,68.13018584736339,39.06304840103758,5693,1966,B,Rural,396994.73884150427
1768,4,2.5,26,5.61021202255803,1,1,3,42.03155256830121,27.927231762486777,8483,1962,D,Suburbs,344291.04538696446
1767,2,3.0,7,4.715061069828919,2,0,4,1.9434134375900913,38.38878066058285,6616,2018,D,Downtown,297461.39871365635
2120,4,3.5,12,2.7812622821553443,2,0,3,96.63558980534191,5.403704310903271,8573,1966,C,Rural,364119.074160196
1043,4,1.5,17,5.153981721460639,1,1,3,59.78985796981683,20.1302405203294,5582,1989,B,Urban,255295.0078854817
1137,3,3.0,2,7.236105044851273,0,1,2,61.33320585917943,40.00582697374721,8968,1983,A,Suburbs,290788.5002324974
1718,2,2.0,2,9.68415096543275,0,0,4,98.26792927315823,40.93883329081801,7139,2000,B,Urban,265843.6151912095
1493,3,2.0,14,8.105694584301546,2,0,5,83.35046151220793,39.65649180226879,7416,2004,C,Urban,303164.019977238
2157,5,3.5,13,2.4532343336714177,1,0,2,36.26652974768121,37.473093675513866,5399,1989,B,Urban,346648.43859849824
1545,4,2.0,0,3.4543166482318606,1,1,4,4.182744093995893,19.45328648960082,10037,1956,A,Downtown,357232.3479054297
1293,2,1.5,3,1.70941505908015,1,0,3,22.238076362062632,36.093535236824245,8280,1983,C,Urban,253586.31965847008
2732,4,1.5,5,2.2208457183407013,1,1,3,35.15277821017222,6.362298444731765,9079,1985,C,Urban,454124.3884454272
1887,3,2.0,17,3.256146683816028,1,0,5,96.02534587932503,8.967735764312284,5446,1989,B,Urban,339547.0908491221
2033,3,3.0,5,2.79574629668398,1,0,4,88.86698902567144,27.456099858706892,9351,1967,D,Urban,347012.1079798401
1287,4,4.0,26,2.92284325689973,1,1,4,2.1528206355971857,27.930713455628688,8082,2021,B,Suburbs,333378.1495705037
1727,3,3.0,56,3.076932037953592,1,0,4,98.72276365495229,24.117334355232302,7007,1973,B,Suburbs,244414.12095551065
2055,4,3.5,15,3.7061082620525028,1,0,3,25.711964444374214,37.01497646875335,10753,1980,B,Downtown,387382.010478644
1424,4,3.0,10,2.1302746176408283,1,0,4,77.53721349067119,28.626964643760694,8817,2004,B,Downtown,285345.8223659907
2187,4,3.5,4,3.5005148543646545,1,0,4,11.659612854136213,4.219327499284702,8905,1962,C,Suburbs,395657.80095425673
1699,2,1.0,0,7.195706445538509,2,1,5,22.031721478007004,44.47272411265232,4070,2010,B,Rural,326456.8235933791
1854,4,3.5,8,3.12760899842912,1,0,4,50.54325376353992,31.773538497644136,10162,1972,D,Suburbs,331751.0353554263
1699,5,2.0,4,2.546545848874187,1,0,5,70.36119406368722,44.87664799232779,8895,1976,C,Urban,352605.98897277087
2926,2,3.5,4,1.6092609596601468,1,0,5,34.539880786901136,22.04598976856745,10475,1990,D,Suburbs,480829.35782868235
1993,3,1.0,11,5.499743375773345,2,0,5,87.32554891638715,1.0899813823494673,6814,1992,D,Suburbs,340745.5793112523
1471,2,3.0,6,8.577844550850486,1,0,3,94.01947754736926,38.37164491984877,6573,1972,C,Rural,273392.46275591466
2411,4,3.0,13,1.5311497983736757,1,0,3,12.256504410323876,28.734673913923476,11229,1960,B,Rural,410437.52660242975
1389,4,4.0,5,5.880934245143342,1,0,5,71.85661234352324,1.9631231484509835,9916,1968,B,Downtown,369674.9371731687
2104,2,3.0,1,6.855570238802484,1,0,2,13.191027886120931,29.058025461452186,5142,1956,B,Rural,350390.90992449655
1020,4,2.0,6,6.332154911009595,0,0,3,34.076546836640546,46.623091503493335,8032,2012,B,Downtown,215162.34193754953
1335,2,2.5,30,8.898608832092659,0,0,2,81.95607048117513,11.228087386920457,10045,1996,C,Downtown,263703.5182225713
2098,4,2.0,16,8.79756022187707,0,0,1,33.63527977593507,14.805782988786936,8355,1974,B,Downtown,379884.8299919131
2369,3,1.5,2,1.5157683327561338,1,1,4,90.73974418726277,32.826214698885096,6900,1962,D,Rural,346789.1670868991
2085,3,1.5,4,4.248495723013182,0,1,5,41.147206387914736,41.22479769961685,6662,2008,B,Downtown,301752.1877539082
1942,2,1.5,26,7.037468474479774,2,1,2,30.979640788628558,32.444976994571334,8128,2002,C,Suburbs,375194.2419347753
1849,2,2.5,1,9.57200189943278,2,0,5,98.91234845622779,33.91346785828102,10042,2007,D,Downtown,338079.2108934059
1260,4,3.5,2,8.242163168077468,1,1,3,44.15033354464511,17.008164353212553,6009,1987,A,Downtown,323179.396306907
1640,3,3.5,3,2.589303794804374,1,0,4,74.09559906938942,1.4914861508818316,3731,1964,C,Suburbs,262254.8112538543
1769,2,1.0,8,3.512879539725695,1,0,5,59.94528909059377,42.15323709966397,7188,1992,A,Downtown,262615.9692614801
2528,2,1.0,5,7.872344772613646,1,0,4,20.24856402415901,49.76698354167471,8900,1994,C,Downtown,384056.7053728038
2171,1,1.5,0,5.243273625454081,1,0,2,50.03126649538967,43.45426263329928,9343,1981,C,Rural,337101.0580690428
1118,4,2.0,9,5.925721978199387,1,0,2,7.741872521209325,20.477647963046774,5972,1986,C,Downtown,261000.65878298535
2162,4,1.0,1,6.480818381581363,1,0,5,70.87452435431662,18.239277676996966,8539,2022,C,Urban,350018.25632269063
1807,1,2.0,9,1.9296236595316547,1,1,1,51.89415234796178,48.033532679999034,6722,1982,B,Downtown,262061.13717489978
1661,3,2.5,7,8.703658300899288,1,0,2,12.2375856690637,49.431253547299384,9471,2003,A,Suburbs,323711.7862664002
2305,1,2.5,6,8.768209954390546,1,0,3,76.67595204855037,30.99947705588394,7736,1973,C,Urban,330510.54333626933
2515,5,2.5,0,5.214154997155306,2,0,5,80.45617061348347,26.20890900406744,9676,1953,A,Urban,458864.87245620677
2465,5,2.0,10,6.641606966505968,1,0,4,73.38296809083124,26.300770592564675,8134,1950,D,Rural,433229.8767128247
1580,4,3.0,5,6.939137080229411,1,0,4,32.90571149934169,10.888526309059419,9000,2012,B,Downtown,376790.38731480076
1845,5,3.0,5,2.7075032625689572,1,0,4,72.31683034760621,36.68179217598916,7114,1981,C,Suburbs,372571.4977270236
2165,4,2.0,9,2.0132634561965146,1,0,5,57.7709038310165,9.382319781239067,6579,2014,C,Rural,379780.1719499397
2487,4,1.0,9,1.1860565176337525,1,1,2,54.38794989143225,11.271329401922603,7431,2000,C,Suburbs,390957.24570372474
1760,3,2.0,0,9.21593644099841,2,0,1,64.87429513207549,34.033993071093185,9233,1959,B,Urban,367402.5714559491
1907,3,1.5,1,4.111419600502222,1,0,2,63.0088757775644,43.594701882121,13048,1970,B,Suburbs,321328.2439871416
1446,2,2.0,2,1.7724784150990271,1,1,2,79.91455428509214,33.6303069889151,10520,1964,C,Downtown,282885.7483008347
1401,3,1.5,11,5.192199806481743,1,0,1,98.59845790626221,24.271459227129455,11039,1994,B,Rural,263313.482187865
2406,4,2.0,8,1.6806260201155765,0,0,4,72.62774337111088,35.06674421624789,7790,2001,B,Downtown,373592.3544718031
2678,2,1.5,14,1.7672567752625943,1,0,5,44.177270198000016,23.294200110672556,6926,1958,A,Downtown,398308.8107832667
1963,2,3.0,13,5.399968111340726,1,0,4,46.166800502406645,33.056180327527834,3592,1953,B,Downtown,303542.4565990856
2501,3,1.0,19,5.579529937449717,1,0,2,2.9279543758242266,39.23759897038296,6803,1977,C,Rural,369923.7700010189
2180,2,2.5,4,6.221287767951195,1,1,4,15.990607138013136,1.7197380087352143,5241,1994,B,Downtown,369707.1864287362
1677,3,1.5,4,6.906803320077415,1,0,4,22.816913932550253,11.730349897314053,9537,1997,D,Downtown,332698.7135226533
2180,5,1.0,17,7.014406331612073,0,0,5,99.03256807225787,35.45181465563479,7606,1990,A,Downtown,330144.9431770702
2769,4,3.5,2,4.8969701879636585,1,1,5,76.3098702257293,20.668264302041045,5360,1976,B,Suburbs,466834.96872794523
1982,4,2.5,6,6.791797526836387,1,1,4,14.154500010302796,26.585151693850893,9093,1969,C,Urban,404270.87625661807
