age,income,credit_score,employment_years,debt_to_income,loan_amount,education,marital_status,approved
56,56291,560,6,0.7303611541350649,142200,Bachelor,Divorced,no
69,52772,649,9,0.5791537791949424,197079,High School,Married,no
46,49747,666,12,0.3614531372683607,285080,Bachelor,Married,yes
32,52520,703,7,0.6664415068823344,67326,High School,Single,yes
60,42589,706,1,0.3262364100297259,144495,Master,Married,yes
25,17924,557,1,0.793529304964372,214804,Bachelor,Single,no
78,42063,668,2,0.6471338657273484,275578,Master,Married,yes
38,59374,745,1,0.6658730197130552,67999,Bachelor,Married,yes
56,47261,534,1,0.28268077783567813,126269,PhD,Single,no
75,57829,824,6,0.20152367743531774,-32458,Master,Single,yes
36,38264,552,0,0.3726773331227089,330933,PhD,Divorced,no
40,69886,812,6,0.3339650253424835,89235,Bachelor,Single,yes
28,-1126,554,8,0.6388824980609721,249618,PhD,Married,no
28,52828,644,0,0.2220016838457616,342923,High School,Married,yes
41,76977,630,0,0.4692263995376441,340439,High School,Married,no
70,79953,513,1,0.539735309875346,19587,Bachelor,Married,no
53,45363,719,1,0.36961584011527504,301478,Master,Married,yes
57,23476,724,4,0.2404251190247612,281489,High School,Single,yes
41,77329,711,5,0.7269667599317675,296077,PhD,Single,yes
20,48962,625,5,0.1971880320013991,-20646,High School,Single,yes
39,46820,579,2,0.31266306178952497,140663,Master,Single,no
70,32142,759,3,0.6295971655276505,30074,PhD,Single,yes
19,25002,671,5,0.5237180712184053,152183,PhD,Married,yes
41,61277,574,0,0.6114518844419693,280791,Bachelor,Married,no
61,63397,671,1,0.666136641552828,395417,Bachelor,Single,yes
47,54030,482,11,0.7267750212285635,285273,High School,Married,no
55,34719,660,2,0.3131955107835597,240244,High School,Single,yes
19,28700,715,8,0.43201361220215806,148778,PhD,Married,yes
77,21355,632,1,0.5818171005403958,144617,High School,Married,no
38,38789,721,0,0.6563219646660301,242037,High School,Single,no
50,29882,731,3,0.5044717347250642,188649,Bachelor,Married,yes
29,15813,677,11,0.45962372456965683,257411,Bachelor,Divorced,yes
75,63026,826,8,0.584234481909491,186644,Bachelor,Married,yes
39,23618,785,1,0.3674202936536519,345975,Bachelor,Married,yes
78,69678,712,12,0.7255930073159212,299983,High School,Single,yes
61,57881,685,3,0.24855325486394986,115094,PhD,Married,yes
42,55886,624,0,0.7188029469914718,276427,High School,Divorced,no
66,83306,585,0,0.550531689841147,225671,Bachelor,Married,no
44,24283,729,3,0.5204609180319331,127674,High School,Single,yes
76,67475,630,3,0.4289684044140799,407011,Master,Married,no
59,44047,548,0,0.20832222988582383,230451,High School,Married,no
45,101421,569,12,0.7054538982591972,235252,Bachelor,Married,no
77,42384,582,6,0.13677377087979575,279009,Master,Married,yes
33,39153,825,8,0.28897596686336496,256869,High School,Single,yes
32,58510,734,4,0.1767947228799509,298109,Master,Married,yes
79,45821,653,5,0.1747847183308004,77526,High School,Single,yes
79,34830,691,2,0.37329593564169783,340429,High School,Married,yes
64,30594,703,5,0.21229798543506107,239341,Bachelor,Single,yes
79,79164,563,19,0.506970050238334,224582,Bachelor,Single,no
68,26730,533,5,0.5390112577478401,125427,Bachelor,Married,no
61,54461,755,2,0.7174656091919849,109790,High School,Married,yes
72,71123,515,1,0.30976754857801014,107408,High School,Divorced,yes
69,72089,648,16,0.316424868383,151766,High School,Single,yes
74,37966,577,1,0.2724581073744722,205928,PhD,Married,no
20,45876,672,8,0.6472672323660957,64843,Bachelor,Married,yes
54,41996,624,3,0.3996420561305909,376568,Bachelor,Married,yes
68,19299,703,2,0.48669540934674493,250213,Bachelor,Single,yes
24,60750,418,6,0.3622322578917203,94800,Master,Married,yes
38,50770,762,0,0.2097690506313036,297742,Master,Single,yes
26,78811,723,3,0.1717707961747275,149164,High School,Married,yes
56,33535,751,0,0.7077914264263109,122714,Bachelor,Married,no
35,71773,739,5,0.2858371771605648,329651,Bachelor,Divorced,yes
21,73184,681,0,0.7591339408857398,134362,High School,Single,yes
42,50941,585,0,0.763105408895967,205077,High School,Married,no
77,6582,693,9,0.4352450900210709,290933,Master,Married,yes
31,39748,678,2,0.771011758574668,318101,High School,Single,yes
67,85717,737,1,0.1199410514499559,225575,High School,Divorced,yes
75,55941,712,4,0.16415540582178834,27196,Bachelor,Married,yes
26,63867,659,3,0.27031677596374903,93321,Bachelor,Married,yes
43,48216,693,2,0.2464353811508023,344799,High School,Married,yes
70,45531,702,11,0.2768464916678762,286282,High School,Married,yes
19,12653,758,6,0.41660603130749385,265605,PhD,Single,no
37,65894,823,0,0.14404494733161943,127636,PhD,Single,yes
