feature,importance
square_feet,0.540601227242558
square_feet_x_bedrooms,0.25063345397117837
location_score,0.05158610350065221
bathrooms,0.02900399426529114
pool,0.02703321271257946
age,0.026342144170132115
school_rating,0.020768046641023274
distance_to_city,0.01688612476091277
crime_rate,0.012926834615548562
lot_size,0.010071421491475656
year_built,0.006006646199778798
garage,0.003784346594123923
energy_efficiency,0.0020154867159530403
neighborhood,0.0019466369108649061
bedrooms,0.00039432020792772986
