feature,importance
square_feet,0.5405991057609771
square_feet_x_bedrooms,0.2506370639595658
location_score,0.051591082376288004
bathrooms,0.029006783015786592
pool,0.027034584357663052
age,0.026339006672467725
school_rating,0.020762177834739975
distance_to_city,0.016871041348700492
crime_rate,0.01292492840544618
lot_size,0.010073004075449614
year_built,0.0060142788885905905
garage,0.0037927109199252756
energy_efficiency,0.0020188352472001966
neighborhood,0.0019465348652861754
bedrooms,0.00038886227191329615
